latitude,longitude
17.38037,78.38244
17.38037,78.38244
17.3804,78.38238
17.38043,78.38235
17.38047,78.38233
17.38052,78.38232
17.3806,78.38234
17.38079,78.38236
17.38082,78.38212
17.38046,78.38203
17.3803,78.38198
17.38027,78.38197
17.38004,78.3819
17.38001,78.38188
17.38,78.38186
17.38,78.38183
17.38001,78.38179
17.38002,78.38175
17.37995,78.38173
17.37993,78.38173
17.37991,78.38172
17.37988,78.38171
17.37986,78.3817
17.37983,78.38168
17.37978,78.38165
17.37965,78.38166
17.37956,78.38168
17.37943,78.38169
17.37932,78.38169
17.37922,78.38168
17.37914,78.38168
17.37895,78.38165
17.37874,78.38157
17.3785,78.38148
17.37833,78.38141
17.37827,78.38138
17.37817,78.38135
17.37804,78.38132
17.37801,78.38131
17.37787,78.3813
17.37762,78.38132
17.37739,78.38137
17.37682,78.38149
17.37672,78.38149
17.37672,78.38104
17.37676,78.37989
17.37679,78.37913
17.37679,78.37881
17.37679,78.37868
17.37679,78.37856
17.37674,78.37806
17.37673,78.37798
17.37663,78.37713
17.37662,78.3771
17.37661,78.377
17.37658,78.37669
17.37657,78.37666
17.37653,78.37634
17.37653,78.37626
17.37652,78.37614
17.37652,78.37607
17.37653,78.37596
17.37655,78.37582
17.37658,78.37565
17.37659,78.37555
17.37661,78.37548
17.37666,78.3752
17.3767,78.37503
17.37673,78.3749
17.37678,78.37475
17.37692,78.37437
17.37704,78.37404
17.37721,78.37359
17.37759,78.37255
17.37761,78.3725
17.37772,78.3722
17.37786,78.37184
17.37793,78.37169
17.37805,78.37144
17.37816,78.37123
17.37828,78.37101
17.37848,78.37069
17.37858,78.37054
17.37884,78.37016
17.37891,78.37005
17.37912,78.36978
17.37967,78.36904
17.37993,78.36868
17.38019,78.36831
17.38065,78.36765
17.38088,78.36729
17.38092,78.36722
17.38101,78.36709
17.38115,78.36685
17.38119,78.3668
17.3813,78.36662
17.3814,78.36647
17.38168,78.36605
17.38204,78.3655
17.38217,78.36531
17.38235,78.36505
17.38256,78.36474
17.38282,78.36434
17.38285,78.36428
17.38309,78.36385
17.38313,78.36379
17.38341,78.36328
17.38345,78.3632
17.38361,78.36291
17.38373,78.36265
17.38378,78.36256
17.38379,78.36253
17.38388,78.36232
17.38396,78.36214
17.38407,78.36195
17.38413,78.36181
17.38426,78.36152
17.38432,78.36139
17.38434,78.36133
17.38437,78.36123
17.38438,78.36118
17.3844,78.3611
17.38443,78.36099
17.38447,78.36082
17.38451,78.36064
17.38455,78.36048
17.38459,78.36022
17.3846,78.36017
17.38464,78.35989
17.3847,78.35955
17.3848,78.35892
17.3849,78.35832
17.38492,78.35819
17.385,78.35769
17.3851,78.35708
17.38512,78.35692
17.38513,78.35684
17.38517,78.35662
17.3852,78.35643
17.38534,78.35569
17.3854,78.35531
17.38543,78.3551
17.38548,78.3548
17.38548,78.35474
17.38549,78.35469
17.3855,78.35461
17.3855,78.35456
17.38549,78.35451
17.38547,78.35439
17.38546,78.35438
17.38543,78.35435
17.38541,78.35431
17.38539,78.35427
17.38538,78.35422
17.38538,78.35416
17.38539,78.35409
17.38541,78.35405
17.38543,78.35401
17.38546,78.35397
17.38549,78.35394
17.38553,78.35392
