latitude,longitude
17.497991,78.358768
17.498090,78.358978
17.498208,78.359225
17.498339,78.359474
17.498480,78.359724
17.498629,78.359982
17.498787,78.360242
17.498958,78.360500
17.499130,78.360760
17.499308,78.361020
17.499490,78.361280
17.499675,78.361540
17.499863,78.361797
17.500052,78.362053
17.500243,78.362310
17.500436,78.362565
17.500631,78.362818
17.500827,78.363072
17.501025,78.363325
17.501226,78.363578
17.501427,78.363832
17.501629,78.364089
17.501832,78.364347
17.502038,78.364609
17.502246,78.364871
17.502457,78.365136
17.502670,78.365407
17.502886,78.365686
17.503105,78.365962
17.503327,78.366246
17.503551,78.366539
17.503778,78.366840
17.504008,78.367149
17.504240,78.367467
17.504476,78.367794
17.504715,78.368129
17.504958,78.368472
17.505204,78.368823
17.505453,78.369183
17.505706,78.369550
17.505963,78.369925
17.506223,78.370308
17.506488,78.370698
17.506756,78.371096
17.507029,78.371501
17.507307,78.371915
17.507590,78.372335
17.507878,78.372763
17.508171,78.373199
17.508469,78.373641
17.508773,78.374091
17.509081,78.374548
17.509396,78.375012
17.509717,78.375483
17.510043,78.375961
17.510375,78.376445
17.510712,78.376936
17.511055,78.377433
17.511404,78.377936
17.511759,78.378444
17.512120,78.378958
17.512487,78.379478
17.512861,78.380004
17.513242,78.380535
17.513630,78.381072
17.514026,78.381614
17.514429,78.382162
17.514840,78.382715
17.515258,78.383273
17.515685,78.383837
17.516120,78.384407
17.516563,78.384982
17.517013,78.385563
17.517472,78.386149
17.517940,78.386740
17.518417,78.387337
17.518903,78.387939
17.519398,78.388547
17.519903,78.389161
17.520418,78.389780
17.520943,78.390405
17.521479,78.391035
17.522026,78.391671
17.522584,78.392312
17.523155,78.392958
17.523737,78.393610
17.524331,78.394266
17.524937,78.394928
17.525556,78.395595
17.526187,78.396267
17.526831,78.396944
17.527487,78.397626
17.528155,78.398313
17.528835,78.399006
17.529527,78.399704
17.530231,78.400408
17.530947,78.401118
17.531676,78.401833
17.532417,78.402554
17.533170,78.403281
17.533936,78.404014
17.534715,78.404752
17.535506,78.405495
17.536309,78.406244
17.537124,78.406998
17.537951,78.407758
17.538790,78.408523
17.539641,78.409293
17.540504,78.410068
17.541379,78.410848
17.542266,78.411634
17.543165,78.412426
17.544077,78.413223
17.545001,78.414026
17.545938,78.414835
17.546887,78.415650
17.547849,78.416471
17.548824,78.417298
17.549811,78.418131
17.550811,78.418971
17.551824,78.419817
17.552850,78.420670
17.553888,78.421529
17.554939,78.422396
17.555991,78.423270
17.557056,78.424151
17.558133,78.425039
17.559223,78.425934
17.560326,78.426836
17.561442,78.427746
17.562570,78.428663
17.563711,78.429588
17.564865,78.430520
17.566033,78.431460
17.567214,78.432408
17.568407,78.433363
17.569613,78.434326
17.570832,78.435297
17.572063,78.436276
17.573307,78.437263
17.574563,78.438258
17.575831,78.439261
17.577112,78.440272
17.578406,78.441292
17.579712,78.442320
17.581031,78.443356
17.582362,78.444400
17.583705,78.445452
17.585061,78.446513
17.586430,78.447583
17.587812,78.448662
17.589206,78.449749
17.590613,78.450844
17.592032,78.451948
17.593463,78.453060
17.594907,78.454181
17.596364,78.455310
17.597833,78.456448
17.599315,78.457594
17.600810,78.458749
17.602318,78.459912
17.603839,78.461084
17.605373,78.462264
17.606920,78.463452
17.608481,78.464648
17.610055,78.465852
17.611643,78.467065
17.613244,78.468285
17.614858,78.469513
17.616487,78.470749
17.618129,78.471993
17.619786,78.473245
17.621458,78.474505
17.623143,78.475773
17.624842,78.477049
17.626556,78.478332
